miR_ID,mRNA_ID
hsa-miR-99a-5p,NM_000142
hsa-miR-100-5p,NM_000142
hsa-miR-182-5p,NM_001452
hsa-miR-204-5p,NM_001453
hsa-miR-30a-5p,NM_004472
hsa-miR-134-5p,NM_001243088
hsa-miR-149-5p,NM_001243088
hsa-miR-145-5p,NM_001167681
hsa-miR-155-5p,NM_001167681
hsa-miR-150-5p,NM_004119
hsa-miR-222-3p,NM_005252
hsa-miR-181a-5p,NM_005252
hsa-miR-29b-3p,NM_005252
hsa-miR-221-3p,NM_005252
hsa-miR-101-3p,NM_005252
hsa-miR-139-5p,NM_005252
hsa-miR-224-5p,NM_001114171
hsa-miR-100-5p,NM_004958
hsa-miR-144-3p,NM_004958
hsa-miR-99a-5p,NM_004958
hsa-miR-99b-5p,NM_004958
hsa-miR-199a-3p,NM_002033
hsa-miR-23a-3p,NM_001270397
hsa-miR-1,NM_000402
hsa-miR-1,NM_002052
hsa-miR-181b-5p,NM_005257
hsa-miR-181c-5p,NM_005257
hsa-miR-181a-5p,NM_005257
hsa-miR-155-5p,NM_001482
hsa-miR-206,NM_000165
hsa-miR-1,NM_000165
hsa-miR-219a-5p,NM_001164617
hsa-miR-326,NM_001160045
hsa-miR-125b-5p,NM_001160045
hsa-miR-324-5p,NM_001160045
hsa-miR-29a-3p,NM_001033044
hsa-miR-145-5p,NM_004124
hsa-miR-103a-3p,NM_001257199
hsa-let-7f-5p,NM_004127
hsa-let-7c-5p,NM_004127
hsa-let-7e-3p,NM_004127
hsa-let-7i-5p,NM_004127
hsa-miR-433-3p,NM_002086
hsa-miR-378a-3p,NM_002086
hsa-miR-26a-5p,NM_001146156
hsa-miR-133a-3p,NM_000852
hsa-miR-513a-3p,NM_000852
hsa-miR-328-3p,NM_002105
hsa-miR-138-5p,NM_002105
hsa-miR-24-3p,NM_002105
hsa-miR-155-5p,NM_001258334
hsa-let-7a-5p,NM_005328
hsa-miR-34a-5p,NM_004964
hsa-miR-449b-5p,NM_004964
hsa-miR-449a,NM_004964
hsa-miR-20a-5p,NM_181054
hsa-miR-138-5p,NM_181054
hsa-miR-519c-3p,NM_181054
hsa-miR-199b-5p,NM_181054
hsa-miR-424-5p,NM_181054
hsa-miR-20b-5p,NM_181054
hsa-miR-107,NM_181054
hsa-miR-155-5p,NM_006734
hsa-miR-143-3p,NM_000189
hsa-miR-125b-5p,NM_000189
hsa-miR-125a-5p,NM_000189
hsa-miR-22-3p,NM_002128
hsa-miR-23a-3p,NM_005517
hsa-miR-196a-5p,NM_002133
hsa-miR-122-5p,NM_002133
hsa-let-7a-5p,NM_004496
hsa-miR-450a-5p,NM_002140
hsa-miR-21-5p,NM_002140
hsa-miR-196a-5p,NM_019102
hsa-miR-19a-3p,NM_019102
hsa-miR-130a-3p,NM_019102
hsa-miR-196a-5p,NM_006896
hsa-miR-126-3p,NM_152739
hsa-miR-210-3p,NM_152739
hsa-miR-145-5p,NM_152739
hsa-miR-7-5p,NM_002147
hsa-miR-429,NM_002147
hsa-miR-200b-3p,NM_002147
hsa-miR-141-3p,NM_002147
hsa-miR-200a-3p,NM_002147
hsa-miR-200c-3p,NM_002147
hsa-miR-196a-5p,NM_004502
hsa-miR-196a-5p,NM_024016
hsa-miR-196b-5p,NM_024016
hsa-miR-196a-5p,NM_022658
hsa-miR-196b-5p,NM_022658
hsa-miR-31-5p,NM_017410
hsa-miR-196a-5p,NM_001199746
hsa-miR-10b-5p,NM_002148
hsa-miR-192-5p,NM_000861
hsa-miR-524-5p,NM_005524
hsa-miR-23a-3p,NM_005524
hsa-miR-199b-5p,NM_005524
hsa-miR-17-5p,NM_001541
hsa-miR-1,NM_002156
hsa-miR-663a,NM_005529
hsa-miR-22-3p,NM_001256761
hsa-miR-335-5p,NM_002160
hsa-miR-17-5p,NM_000201
hsa-miR-21-5p,NM_000201
hsa-miR-1256,NM_000201
hsa-miR-17-3p,NM_000201
hsa-miR-221-3p,NM_000201
hsa-miR-222-3p,NM_000201
hsa-miR-155-5p,NM_000201
hsa-miR-31-5p,NM_000201
hsa-miR-34a-5p,NM_002176
hsa-miR-26a-5p,NM_002176
hsa-let-7b-5p,NM_002176
hsa-miR-145-5p,NM_002176
hsa-miR-409-3p,NM_000619
hsa-miR-29b-3p,NM_000619
hsa-miR-15a-5p,NM_000619
hsa-miR-15b-5p,NM_000619
hsa-miR-16-5p,NM_000619
hsa-miR-155-5p,NM_000416
hsa-miR-150-5p,NM_000612
hsa-miR-615-5p,NM_000612
hsa-miR-125b-5p,NM_000612
hsa-let-7a-5p,NM_000612
hsa-miR-657,NM_000876
hsa-miR-126-3p,NM_000597
hsa-miR-30a-3p,NM_001554
hsa-miR-155-5p,NM_001554
hsa-miR-205-5p,NM_001554
hsa-miR-155-5p,NM_144646
hsa-miR-191-5p,NM_000575
hsa-miR-21-5p,NM_000576
hsa-miR-181c-5p,NM_000586
hsa-miR-365a-3p,NM_000600
hsa-miR-26a-5p,NM_000600
hsa-let-7a-5p,NM_000600
hsa-miR-146a-5p,NM_000584
hsa-miR-155-5p,NM_000584
hsa-miR-106a-5p,NM_000572
hsa-miR-204-5p,NM_000641
hsa-miR-211-5p,NM_000641
hsa-miR-379-5p,NM_000641
hsa-let-7d-5p,NM_002188
hsa-let-7i-5p,NM_002188
hsa-miR-98-5p,NM_002188
hsa-let-7g-5p,NM_002188
hsa-let-7f-5p,NM_002188
hsa-miR-155-5p,NM_001560
hsa-miR-346,NM_001243211
hsa-miR-542-3p,NM_001014794
hsa-miR-625-5p,NM_001014794
hsa-miR-145-5p,NM_001014794
hsa-miR-29b-3p,NM_000883
hsa-miR-29a-3p,NM_000883
hsa-miR-34a-5p,NM_000884
hsa-miR-662,NM_001267728
hsa-miR-155-5p,NM_001017915
hsa-miR-184,NM_001567
hsa-miR-205-5p,NM_001567
hsa-miR-146a-5p,NM_001025242
hsa-miR-146b-5p,NM_001025242
hsa-miR-146a-5p,NM_001570
hsa-miR-383-5p,NM_002198
hsa-miR-22-3p,NM_001098627
hsa-miR-148b-3p,NM_002205
hsa-miR-92a-3p,NM_002205
hsa-miR-31-5p,NM_002205
hsa-miR-194-5p,NM_002207
hsa-let-7a-5p,NM_000212
hsa-miR-145-5p,NM_002214
hsa-miR-93-5p,NM_002214
hsa-miR-19b-1-5p,NM_002214
hsa-miR-424-5p,NM_001099952
hsa-miR-17-5p,NM_002227
hsa-miR-375,NM_004972
hsa-miR-135a-5p,NM_004972
hsa-miR-155-5p,NM_001267040
hsa-miR-155-5p,NM_002228
hsa-miR-663a,NM_002229
hsa-miR-1,NM_000219
hsa-miR-296-3p,NM_002238
hsa-miR-212-3p,NM_000891
hsa-miR-1,NM_000891
hsa-miR-200b-3p,NM_002253
hsa-miR-19b-1-5p,NM_002253
hsa-miR-1,NM_001098511
hsa-miR-183-5p,NM_001098511
hsa-miR-221-3p,NM_000222
hsa-miR-146b-5p,NM_000222
hsa-miR-222-3p,NM_000222
hsa-miR-146a-5p,NM_001256269
hsa-miR-498,NM_005553
hsa-miR-196a-5p,NM_000424
hsa-miR-146a-5p,NM_000425
hsa-miR-218-5p,NM_000228
hsa-miR-29c-3p,NM_002293
hsa-miR-205-5p,NM_002293
hsa-miR-124-3p,NM_002293
hsa-miR-596,NM_005567
hsa-miR-346,NM_001257135
hsa-miR-223-3p,NM_001257135
hsa-miR-199a-5p,NM_001257135
hsa-miR-223-3p,NM_001142315
hsa-miR-29a-3p,NM_000237
hsa-miR-205-5p,NM_002332
hsa-miR-338-5p,NM_002332
hsa-miR-545-3p,NM_002332
hsa-miR-204-5p,NM_001207024
hsa-miR-21-5p,NM_002356
hsa-miR-138-5p,NM_001202513
hsa-miR-192-5p,NM_002358
hsa-miR-155-5p,NM_001003688
hsa-miR-30c-5p,NM_001003688
hsa-miR-26a-5p,NM_001003688
hsa-miR-30b-5p,NM_001003688
hsa-miR-30d-5p,NM_001003688
hsa-miR-30a-5p,NM_001003688
hsa-miR-155-5p,NM_001003652
hsa-miR-200a-3p,NM_001003652
hsa-miR-200b-3p,NM_001003652
hsa-miR-18a-5p,NM_001145102
hsa-miR-200a-3p,NM_001145102
hsa-miR-155-5p,NM_001145102
hsa-miR-146a-5p,NM_005359
hsa-miR-155-5p,NM_005359
hsa-miR-454-3p,NM_005359
hsa-miR-17-5p,NM_005359
hsa-miR-26a-5p,NM_005359
hsa-miR-301a-3p,NM_005359
hsa-miR-224-5p,NM_005359
hsa-miR-19a-3p,NM_005359
hsa-miR-182-5p,NM_005359
hsa-miR-199a-5p,NM_005359
hsa-miR-18a-5p,NM_005359
hsa-miR-483-3p,NM_005359
hsa-miR-130a-3p,NM_005359
hsa-miR-155-5p,NM_001001419
hsa-miR-21-5p,NM_001190821
hsa-miR-217,NM_001190821
hsa-miR-216a-5p,NM_001190821
hsa-miR-25-3p,NM_001190821
hsa-miR-34a-5p,NM_005362
hsa-miR-34a-5p,NM_005363
hsa-miR-34a-5p,NM_001166386
hsa-miR-22-3p,NM_000240
hsa-miR-338-3p,NM_002373
hsa-miR-34c-5p,NM_001123066
hsa-miR-101-3p,NM_001197320
hsa-miR-29a-3p,NM_001197320
hsa-miR-181b-5p,NM_001197320
hsa-miR-153-3p,NM_001197320
hsa-miR-26a-5p,NM_001197320
hsa-miR-29c-3p,NM_001197320
hsa-miR-518a-5p,NM_001197320
hsa-miR-133b,NM_001197320
hsa-miR-892b,NM_001197320
hsa-miR-193b-3p,NM_001197320
hsa-miR-29b-3p,NM_001197320
hsa-miR-582-5p,NM_001197320
hsa-miR-661,NM_001197320
hsa-miR-320a,NM_001197320
hsa-miR-876-3p,NM_001197320
hsa-miR-193a-3p,NM_001197320
hsa-miR-148b-5p,NM_001197320
hsa-miR-133a-3p,NM_001197320
hsa-miR-512-5p,NM_001197320
hsa-miR-181a-5p,NM_001197320
hsa-miR-885-5p,NM_006739
hsa-miR-122-5p,NM_004992
hsa-miR-19a-3p,NM_004992
hsa-miR-155-5p,NM_004992
hsa-miR-802,NM_004992
hsa-miR-212-3p,NM_004992
hsa-miR-124-3p,NM_004992
hsa-miR-155-5p,NM_001130926
hsa-miR-1,NM_001130926
hsa-miR-223-3p,NM_001131005
hsa-miR-21-5p,NM_001131005
hsa-miR-17-5p,NM_001271629
hsa-miR-20a-5p,NM_001271629
hsa-miR-301a-3p,NM_005924
hsa-miR-130a-3p,NM_005924
hsa-miR-221-3p,NM_005924
hsa-miR-145-5p,NM_001253900
hsa-miR-34c-5p,NM_000245
hsa-miR-340-5p,NM_000245
hsa-miR-34b-5p,NM_000245
